,Critic_Score,Critic_Count,User_Score,User_Count
298,85.0,83.0,7.7,1653.0
299,,,,
300,,,,
301,61.0,21.0,tbd,
302,89.0,76.0,8.6,681.0
303,92.0,79.0,9.2,10179.0
304,70.0,40.0,4.9,2050.0
305,87.0,89.0,7.6,2679.0
306,93.0,81.0,8,1958.0
307,90.0,57.0,8,910.0
308,84.0,65.0,8.8,72.0
309,,,,
310,81.0,27.0,8.7,39.0
311,90.0,38.0,8.7,121.0
312,86.0,80.0,8.7,348.0
313,94.0,32.0,8.1,9073.0
314,87.0,51.0,6.7,364.0
315,88.0,62.0,8.6,229.0
316,,,,
317,84.0,9.0,7.4,220.0
318,,,,
319,91.0,26.0,9.1,38.0
320,76.0,64.0,7.9,104.0
321,,,,
322,,,,
323,78.0,49.0,3.7,1564.0
324,59.0,22.0,4,4.0
325,80.0,64.0,7,2219.0
326,68.0,33.0,6.9,39.0
327,,,,
328,,,,
329,77.0,60.0,7.5,66.0
330,79.0,21.0,8,29.0
331,,,,
332,64.0,11.0,7.5,41.0
333,,,,
334,,,,
335,85.0,56.0,7.9,417.0
336,91.0,15.0,8.8,207.0
337,88.0,36.0,8.1,840.0
338,81.0,27.0,7.6,56.0
339,,,,
340,,,,
341,94.0,27.0,8.5,128.0
342,,,,
343,67.0,15.0,7.3,13.0
344,74.0,34.0,8.4,31.0
345,,,,
346,82.0,42.0,7.9,82.0
347,90.0,35.0,8.7,312.0
348,,,,
349,82.0,10.0,7.9,38.0
350,96.0,38.0,8.9,1013.0
351,86.0,18.0,7.6,71.0
352,91.0,56.0,7.6,203.0
353,82.0,36.0,8.7,142.0
354,,,,
355,64.0,23.0,7.7,32.0
356,78.0,34.0,8.5,161.0
357,85.0,18.0,6.9,1580.0
358,84.0,30.0,9,268.0
359,,,6.2,10.0
360,70.0,39.0,8,9.0
361,,,,
362,,,,
363,78.0,49.0,7.8,112.0
364,72.0,49.0,6.8,88.0
365,,,,
366,72.0,27.0,7.9,48.0
367,,,,
368,,,,
369,88.0,66.0,7.5,155.0
370,,,,
371,89.0,67.0,7.9,1309.0
372,,,,
373,72.0,59.0,4.1,1005.0
374,,,,
375,83.0,91.0,7.5,523.0
376,89.0,81.0,8.3,693.0
377,84.0,20.0,6.4,76.0
378,80.0,14.0,5.8,579.0
379,92.0,78.0,8.7,1080.0
380,79.0,21.0,5.6,542.0
381,88.0,75.0,8.6,869.0
382,,,,
383,71.0,70.0,8.8,29.0
384,83.0,30.0,8.4,28.0
385,,,,
386,84.0,83.0,8.2,715.0
387,79.0,23.0,8.3,126.0
388,,,,
389,70.0,15.0,8,67.0
390,93.0,86.0,8.2,3943.0
391,80.0,50.0,8.9,106.0
392,,,,
393,88.0,15.0,6.7,35.0
394,91.0,86.0,8.4,657.0
395,68.0,12.0,8.2,99.0
396,76.0,86.0,6.8,1319.0
397,76.0,49.0,7.9,75.0
398,75.0,11.0,5.5,1735.0
399,,,,
400,,,,
401,90.0,32.0,8.5,1041.0
402,,,,
403,,,,
404,77.0,20.0,8.5,66.0
405,,,,
406,,,,
407,60.0,34.0,7.2,82.0
408,87.0,75.0,7.8,228.0
409,80.0,21.0,8.5,86.0
410,86.0,35.0,7.9,701.0
411,85.0,31.0,8.7,105.0
412,,,,
413,82.0,74.0,7.5,563.0
414,77.0,39.0,8,94.0
415,86.0,62.0,9.2,111.0
416,,,,
417,84.0,45.0,4.4,459.0
418,63.0,43.0,4.6,116.0
419,,,,
420,83.0,37.0,5.9,180.0
421,81.0,81.0,7.7,758.0
422,85.0,69.0,7.2,1267.0
423,,,,
424,88.0,85.0,8.7,691.0
425,,,,
426,,,,
427,,,,
428,,,,
429,91.0,79.0,8.6,565.0
430,62.0,30.0,8.1,137.0
431,83.0,67.0,8,463.0
432,82.0,63.0,7.6,85.0
433,89.0,78.0,7.7,1010.0
434,89.0,22.0,9.1,95.0
435,87.0,42.0,8.9,137.0
436,83.0,12.0,6.5,36.0
437,,,8,37.0
438,87.0,19.0,9,107.0
439,73.0,45.0,6.8,155.0
440,88.0,13.0,,
441,,,,
442,82.0,43.0,8.5,101.0
443,,,,
444,83.0,48.0,9,63.0
445,82.0,57.0,7.8,492.0
446,81.0,12.0,7.8,10.0
447,93.0,45.0,8,604.0
448,91.0,81.0,8.9,1057.0
449,74.0,34.0,5.4,1304.0
450,96.0,98.0,8.9,3143.0
451,67.0,28.0,7.9,71.0
452,94.0,23.0,7.9,46.0
453,,,,
454,,,,
455,75.0,18.0,7.8,22.0
456,74.0,17.0,7.9,22.0
457,66.0,60.0,6.9,106.0
458,70.0,74.0,3.9,2057.0
459,89.0,59.0,8.2,892.0
460,72.0,16.0,8,16.0
461,75.0,42.0,7.4,32.0
462,93.0,74.0,5.8,3725.0
463,87.0,107.0,7.7,2759.0
464,,,,
465,81.0,75.0,8.1,307.0
466,93.0,46.0,8.5,121.0
467,,,,
468,,,,
469,87.0,26.0,6.3,616.0
470,91.0,94.0,8.1,1505.0
471,91.0,39.0,8.6,1247.0
472,73.0,78.0,7,131.0
473,88.0,41.0,7.2,131.0
474,73.0,24.0,9.2,173.0
475,,,,
476,,,,
477,82.0,23.0,6.6,20.0
478,93.0,24.0,9.1,65.0
479,94.0,37.0,8.5,466.0
480,85.0,73.0,5.9,2748.0
481,84.0,85.0,8.1,1886.0
482,64.0,29.0,7.8,94.0
483,85.0,19.0,7.8,78.0
484,86.0,68.0,6.4,2658.0
485,88.0,59.0,8.5,572.0
486,,,,
487,87.0,42.0,9,93.0
488,,,,
489,79.0,13.0,7.8,4.0
